movieId,title
110,Braveheart
147,The Basketball Diaries
858,The Godfather
1221,The Godfather: Part II
1246,Dead Poets Society
1968,The Breakfast Club
2762,The Sixth Sense
2918,Ferris Bueller's Day Off
2959,Fight Club
4226,Memento
4878,Donnie Darko
5577,Igby Goes Down
33794,Batman Begins
54503,Superbad
58559,The Dark Knight
59315,Iron Man
68358,Star Trek
69844,Harry Potter and the Half-Blood Prince
73017,Sherlock Holmes
81834,Harry Potter and the Deathly Hallows: Part 1
91500,The Hunger Games
91542,Sherlock Holmes: A Game of Shadows
92439,The Art of Getting By
96821,The Perks of Being a Wallflower
98809,The Hobbit: An Unexpected Journey
99114,Django Unchained
112552,Whiplash
5,Father of the Bride Part II
25,Leaving Las Vegas
32,Twelve Monkeys
58,The Postman
64,Two If by Sea
79,The Juror
141,The Birdcage
260,Star Wars
339,While You Were Sleeping
377,Speed
605,One Fine Day
628,Primal Fear
648,Mission: Impossible
762,Striptease
780,Independence Day
786,Eraser
788,The Nutty Professor
1210,Return of the Jedi
1233,Das Boot
1356,Star Trek: First Contact
1475,Kama Sutra - A Tale of Love
1552,Con Air
480,Jurassic Park
500,Mrs. Doubtfire
527,Schindler's List
1092,Basic Instinct
1097,E.T. the Extra-Terrestrial
1270,Back to the Future
3101,Fatal Attraction
4474,Beaches
223,Clerks
415,Another Stakeout
1197,The Princess Bride
1422,Murder at 1600
1431,Beverly Hills Ninja
1597,Conspiracy Theory
1617,L.A. Confidential
1644,I Know What You Did Last Summer
1645,The Devil's Advocate
1732,The Big Lebowski
1909,The X Files
1911,Doctor Dolittle
2023,The Godfather: Part III
2338,I Still Know What You Did Last Summer
2355,A Bug's Life
2396,Shakespeare in Love
2443,Playing by Heart
2541,Cruel Intentions
2581,Never Been Kissed
2683,Austin Powers: The Spy Who Shagged Me
2692,Run Lola Run
2694,Big Daddy
2706,American Pie
2710,The Blair Witch Project
2712,Eyes Wide Shut
2716,Ghostbusters
2763,The Thomas Crown Affair
2805,Mickey Blue Eyes
2875,Sommersby
2881,Double Jeopardy
2987,Who Framed Roger Rabbit
3004,The Bachelor
3005,The Bone Collector
3114,Toy Story 2
3160,Magnolia
3203,Dead Calm
